text,label
I absolutely love this product! It's amazing.,positive
I hate this service. It's the worst I've ever experienced.,negative
"The food was okay, not great but not terrible either.",neutral
I'm extremely happy with my purchase! Highly recommend.,positive
I will never buy from this company again.,negative
This is the best book I've read this year!,positive
The movie was a total waste of time.,negative
I'm indifferent about this product. It’s just fine.,neutral
The customer service was fantastic and very helpful.,positive
"I had high expectations, but it didn't meet them.",negative
"The delivery was late, but the product is good.",neutral
I'm thrilled with my new phone! The features are incredible.,positive
It broke after one use. Very disappointed.,negative
"I love the design, but the functionality is lacking.",neutral
This app makes my life so much easier!,positive
Not what I expected. The quality is subpar.,negative
"I think it’s just average, nothing special.",neutral
I can't believe how great this was!,positive
Terrible experience. I want a refund!,negative
"This is exactly what I was looking for, perfect!",positive
I would give it zero stars if I could.,negative
